NR,DAGS,ST,LENGD,TYNGD,ALD,KYN,KTR,FYLL,HOR,CHIP,CHIL,DAPH,LYM,EU,PIS,TRI,SimL,Lep,col,Blóðsuga,Ógr,ANN,SCHITSO,NET_MÖSK,ATH,K,,
1,2018-09-03,3,18,60,1,2,2,4,,,,,,100,,,,,,,,,,18.5,,1.03,,0
2,2018-09-03,3,17.5,58,1,2,2,3,,,,,,100,,,,,,,,,,18.5,,1.08,,0
3,2018-09-03,3,17.5,56,1,2,2,5,,,,,,100,,,,,,,,,,18.5,,1.04,,0
4,2018-09-03,3,15.5,52,1,1,2,4,,,,,,100,,,,,,,,,,18.5,,1.4,,0
5,2018-09-03,3,16.1,44,1,1,2,2,,,,,,100,,,,,,,,,,18.5,,1.05,,0
6,2018-09-03,3,21,110,2,2,2,3,,,,,,100,,,,,,,,,,25,,1.19,,0
7,2018-09-03,3,26.5,200,2,2,2,0,,,,,,,,,,,,,,,,25,,1.07,,0
8,2018-09-03,3,17,48,3,1,2,4,,,,,,100,,,,,,,,,,16.5,,0.98,,0
9,2018-09-03,3,16,38,1,1,2,4,,,,,,100,,,,,,,,,,16.5,,0.93,,0
10,2018-09-03,3,15.8,40,1,1,2,3,,,,,,100,,,,,,,,,,16.5,,1.01,,0
11,2018-09-03,3,16.5,44,1,2,2,4,,,,100,,,,,,,,,,,,16.5,,0.98,,0
12,2018-09-03,3,15,30,1,2,2,5,,,,,,100,,,,,,,,,,16.5,,0.89,,0
13,2018-09-03,3,15.7,34,1,2,2,3,,,,,,100,,,,,,,,,,16.5,,0.88,,0
14,2018-09-03,3,16.3,48,1,1,2,4,,,,,,100,,,,,,,,,,16.5,,1.11,,0
15,2018-09-03,3,15,32,1,1,2,5,,,,,,100,,,,,,,,,,16.5,,0.95,,0
16,2018-09-03,3,16,36,1,2,2,2,,,,,,100,,,,,,,,,,16.5,,0.88,,0
17,2018-09-03,3,14.8,36,1,2,2,5,,,,,,100,,,,,,,,,,16.5,,1.11,,0
18,2018-09-03,3,25,212,2,2,2,2,,,,,,100,,,,,,,,,,35,,1.36,,0
19,2018-09-03,3,25.5,194,2,1,2,4,,,,,,100,,,,,,,,,,35,,1.17,,0
20,2018-09-03,3,25.5,176,2,1,2,3,,,,,,100,,,,,,,,,,35,,1.06,,0
21,2018-09-03,3,49,1468,6,1,4,3,,,,,,100,,,,,,,,,,35,,1.25,,0
22,2018-09-03,3,49.2,1784,6,1,4,5,100,,,,,,,,,,,,,,,35,,1.5,,0
23,2018-09-03,3,40.2,868,4,2,5,4,,,,,,100,,,,,,,,,,40,,1.34,,0
24,2018-09-03,3,18.2,60,1,1,2,2,,,,,,100,,,,,,,,,,21.5,,1,,0
25,2018-09-03,3,43,1148,5,1,4,3,,,,,100,,,,,,,,,,,21.5,,1.44,,0
26,2018-09-03,3,20.5,94,2,2,2,3,,,,,,100,,,,,,,,,,35,,1.09,,0
27,2018-09-03,3,29,214,2,2,2,2,,,,,,100,,,,,,,,,,35,,0.88,,0
28,2018-09-03,3,45.8,1180,4,2,5,4,,,,,,100,,,,,,,,,,35,,1.23,,0
29,2018-09-03,3,49,1576,6,1,4,0,,,,,,,,,,,,,,,,35,,1.34,,0
30,2018-09-03,3,45.5,1254,5,1,4,1,,,,,,100,,,,,,,,,,50,,1.33,,0
31,2018-09-03,3,44.5,1116,5,1,4,3,,,,,,100,,,,,,,,,,50,,1.27,,0
32,2018-09-03,1,15.8,40,1,1,1,5,,,,,,100,,,,,,,,,,16.5,,1.01,,0
33,2018-09-03,1,21.7,120,2,1,1,5,,,,,,100,,,,,,,,,,35,,1.17,,0
34,2018-09-03,10,15.5,38,1,2,2,5,,,,,,100,,,,,,,,,,16.5,,1.02,,0
35,2018-09-03,10,21.2,116,2,1,2,5,,,,,,100,,,,,,,,,,25,,1.22,,0
36,2018-09-03,10,18.3,66,1,2,2,5,,,,,,100,,,,,,,,,,21.5,,1.08,,0
37,2018-09-03,10,33.8,494,3,2,2,4,,,,100,,,,,,,,,,,,40,,1.28,,0
38,2018-09-03,10,34.2,520,3,2,2,3,,,,100,,,,,,,,,,,,46,,1.3,,0
39,2018-09-03,10,35,546,3,2,2,3,,,,90,,10,,,,,,,,,,35,,1.27,,0
40,2018-09-03,10,16.5,46,1,2,2,3,,,,,,100,,,,,,,,,,18.5,,1.02,,0
41,2018-09-03,10,38,774,3,2,2,4,,,,100,,,,,,,,,,,,50,,1.41,,0
42,2018-09-03,2,17.5,54,1,2,2,4,,,,,,100,,,,,,,,,,18.5,,1.01,,0
43,2018-09-03,2,29.5,334,2,2,2,4,,,,100,,,,,,,,,,,,21.5,,1.3,,0
44,2018-09-03,2,15.2,34,1,1,2,2,,,,,,100,,,,,,,,,,16.5,,0.97,,0
45,2018-09-03,2,25.7,166,2,2,2,5,,,,90,,10,,,,,,,,,,21.5,krús,0.98,,0
46,2018-09-03,2,39,750,3,2,2,2,,,,,,,,,,,,,100,,,46,,1.26,,100
47,2018-09-03,9,16.2,42,1,2,2,5,,,,,,100,,,,,,,,,,18.5,,0.99,,0
48,2018-09-03,9,16.7,42,1,2,2,2,,,,,,100,,,,,,,,,,16.5,,0.9,,0
49,2018-09-03,9,16,40,1,2,2,2,,,,,,100,,,,,,,,,,16.5,,0.98,,0
50,2018-09-03,9,15.5,36,1,2,2,4,,,,,,100,,,,,,,,,,16.5,,0.97,,0
51,2018-09-03,9,16.2,36,1,1,2,5,,,,,,100,,,,,,,,,,16.5,,0.85,,0
52,2018-09-03,9,31.4,368,2,1,2,4,,,,,,100,,,,,,,,,,40,,1.19,,0
53,2018-09-03,9,31.8,486,3,2,2,0,,,,,,,,,,,,,,,,40,,1.51,,0
54,2018-09-03,9,33.7,512,3,2,2,3,,,,100,,,,,,,,,,,,40,,1.34,,0
55,2018-09-03,9,33.5,450,3,1,2,4,,,,100,,,,,,,,,,,,40,,1.2,,0
56,2018-09-03,9,36,602,3,1,2,4,,,,,,100,,,,,,,,,,40,,1.29,,0
57,2018-09-03,9,21.2,96,2,2,2,4,,,,,,100,,,,,,,,,,21.5,,1.01,,0
58,2018-09-03,9,22.2,130,2,2,2,2,,,,,,100,,,,,,,,,,25,,1.19,,0
59,2018-09-03,9,24.5,140,3,2,2,2,,,,,,100,,,,,,,,,,25,,0.95,,0
60,2018-09-03,9,39.3,722,4,1,2,3,,,,,,100,,,,,,,,,,46,,1.19,,0
61,2018-09-03,9,36,580,4,1,2,3,,,,,,100,,,,,,,,,,46,,1.24,,0
62,2018-09-03,9,44.5,1274,4,1,4,4,,,,,,100,,,,,,,,,,30,,1.45,,0
63,2018-09-03,9,46,1422,5,2,5,3,,,,,,100,,,,,,,,,,50,,1.46,,0
64,2018-09-04,4,16,44,1,1,1,3,,,,70,,30,,,,,,,,,,18.5,,1.07,,0
65,2018-09-04,4,16.4,44,1,2,2,2,,,,30,,70,,,,,,,,,,18.5,,1,,0
66,2018-09-04,4,16.5,46,1,2,2,2,,,,100,,,,,,,,,,,,18.5,,1.02,,0
67,2018-09-04,4,21.1,106,2,2,2,4,,,,90,,10,,,,,,,,,,18.5,,1.13,,0
68,2018-09-04,4,31.5,306,3,2,2,2,,,,100,,,,,,,,,,,,30,,0.98,,0
69,2018-09-04,4,34,556,3,1,2,4,,,,100,,,,,,,,,,,,40,,1.41,,0
70,2018-09-04,4,33.7,546,3,1,2,2,,,,100,,,,,,,,,,,,40,,1.43,,0
71,2018-09-04,4,33,430,3,1,2,2,,,,100,,,,,,,,,,,,40,,1.2,,0
72,2018-09-04,4,29.7,336,2,1,2,2,,,,100,,,,,,,,,,,,50,,1.28,,0
73,2018-09-04,4,42,846,5,2,2,3,,,,,,100,,,,,,,,,,50,,1.14,,0
74,2018-09-04,4,54.7,1648,7,1,7,5,,,,,100,,,,,,,,,,,50,,1.01,,0
75,2018-09-04,4,39,788,4,1,2,4,,,,,,100,,,,,,,,,,35,,1.33,,0
76,2018-09-04,4,48,1426,6,1,4,4,,,,10,60,30,,,,,,,,,,35,,1.29,,0
77,2018-09-04,4,16.6,48,1,1,1,5,,,,100,,,,,,,,,,,,46,,1.05,,0
78,2018-09-04,4,29.5,346,3,2,2,4,,,,100,,,,,,,,,,,,46,,1.35,,0
79,2018-09-04,4,36.5,654,4,1,2,3,,,,100,,,,,,,,,,,,46,,1.34,,0
80,2018-09-04,4,39,694,4,2,2,1,,,,100,,,,,,,,,,,,46,,1.17,,0
81,2018-09-04,4,23.1,124,2,2,2,4,,,,50,,30,,,,,,,,20,,25,,1.01,,20
82,2018-09-04,4,16.6,46,1,1,1,2,,,,60,,40,,,,,,,,,,16.5,,1.01,,0
83,2018-09-04,4,16,36,1,2,1,3,,,,100,,,,,,,,,,,,16.5,,0.88,,0
84,2018-09-04,4,14.4,32,1,2,2,4,,,,100,,,,,,,,,,,,16.5,,1.07,,0
85,2018-09-04,4,24.5,192,2,2,2,2,,,,,,100,,,,,,,,,,30,,1.31,,0
86,2018-09-04,4,24.5,160,2,1,1,2,,,,,,100,,,,,,,,,,25,,1.09,,0
87,2018-09-04,4,20.5,82,2,2,2,2,,,,,,100,,,,,,,,,,21.5,,0.95,,0
88,2018-09-04,4,17.7,68,1,1,1,2,,,,100,,,,,,,,,,,,21.5,,1.23,,0
89,2018-09-04,4,47.5,1390,,1,4,2,,,,,100,,,,,,,,,,,50,,1.3,,0
90,2018-09-04,4,45,1526,6,1,4,2,,,,90,10,,,,,,,,,,,46,,1.67,,0
91,2018-09-04,4,48.3,1588,5,1,4,4,,,,,100,,,,,,,,,,,35,,1.41,,0
92,2018-09-04,5,16.4,44,1,2,2,3,,,,100,,,,,,,,,,,,18.5,,1,,0
93,2018-09-04,5,16.5,28,1,1,1,5,,,,100,,,,,,,,,,,,18.5,,0.62,,0
94,2018-09-04,5,17.9,58,1,1,1,5,,,,100,,,,,,,,,,,,18.5,,1.01,,0
95,2018-09-04,5,21.2,102,1,1,1,1,,,,,,100,,,,,,,,,,25,,1.07,,0
96,2018-09-04,5,22,120,2,2,2,4,,,,80,,20,,,,,,,,,,25,,1.13,,0
97,2018-09-04,5,22.8,126,4,2,5,0,,,,,,,,,,,,,,,,25,,1.06,,0
98,2018-09-04,5,16,42,1,1,1,1,,,,,,100,,,,,,,,,,16.5,,1.03,,0
99,2018-09-04,5,14.5,38,1,2,2,5,,,,100,,,,,,,,,,,,16.5,,1.25,,0
100,2018-09-04,5,33.5,448,3,2,2,2,,,,100,,,,,,,,,,,,35,,1.19,,0
101,2018-09-04,5,31,362,3,2,2,3,,,,100,,,,,,,,,,,,35,,1.22,,0
102,2018-09-04,5,31.8,436,4,2,2,4,,,,100,,,,,,,,,,,,35,,1.36,,0
103,2018-09-04,5,39.5,782,5,2,2,3,,,,100,,,,,,,,,,,,40,,1.27,,0
104,2018-09-04,5,34.5,604,4,2,2,4,,,,100,,,,,,,,,,,,40,,1.47,,0
105,2018-09-04,5,40.5,740,,1,2,2,,,,,100,,,,,,,,,,,40,,1.11,,0
106,2018-09-04,5,41.5,908,5,2,2,2,,,,100,,,,,,,,,,,,50,,1.27,,0
107,2018-09-04,5,45,1344,,1,4,2,,,,80,20,,,,,,,,,,,50,,1.47,,0
108,2018-09-04,5,35.6,594,3,2,2,3,,,,100,,,,,,,,,,,,46,,1.32,,0
109,2018-09-04,5,34,516,3,1,2,2,,,,90,,10,,,,,,,,,,46,,1.31,,0
110,2018-09-04,5,36.2,622,4,2,2,3,,,,20,,80,,,,,,,,,,46,,1.31,,0
111,2018-09-04,5,36,698,4,1,5,2,,,,95,,5,,,,,,,,,,46,,1.5,,0
112,2018-09-04,5,35.3,632,4,1,2,4,,,,100,,,,,,,,,,,,46,,1.44,,0
113,2018-09-04,5,40,854,5,1,2,4,,,,100,,,,,,,,,,,,46,,1.33,,0
114,2018-09-04,0,56.5,2072,7,1,12,5,,,,,100,,,,,,,,,,,18.5,,1.15,,0
115,2018-09-04,0,55,2080,6,1,5,4,100,,,,,,,,,,,,,,,40,,1.25,,0
116,2018-09-04,0,54.4,1918,7,1,5,5,,,,,100,,,,,,,,,,,40,,1.19,,0
117,2018-09-04,0,54.5,1480,7,1,12,3,,,,,100,,,,,,,,,,,21.5,,0.91,,0
