farm,method,season,year,month,day,week,location,basin,net_nights,char,trout,filter
30,net,winter,1985,2,12,7,NA,1,2,0,12,0
31,net,winter,1985,2,12,7,Framfloi,2,8,4,0,0
11,net,winter,1985,2,13,7,Sydrifloi,2,10,4,0,0
12,net,winter,1985,2,13,7,Haeyjarall,3,4,2,0,0
30,net,winter,1985,2,13,7,NA,1,3,0,15,0
16,hook,winter,1985,2,13,7,NA,3,NA,2,0,0
8,net,winter,1985,2,14,7,Leira,2,4,1,0,0
11,net,winter,1985,2,14,7,Sydrifloi,2,10,1,1,0
21,net,winter,1985,2,14,7,Bolir,3,8,0,0,0
28,net,winter,1985,2,14,7,Sydrifloi,2,12,0,0,0
12,net,winter,1985,2,15,7,Haeyjarall,3,4,2,0,0
8,net,winter,1985,2,16,7,Leira,2,4,2,0,0
11,net,winter,1985,2,16,7,Sydrifloi,2,10,2,0,0
21,net,winter,1985,2,16,7,Bolir,3,8,3,0,0
11,hook,winter,1985,2,16,7,NA,3,NA,1,0,0
12,hook,winter,1985,2,16,7,NA,3,NA,2,0,0
28,net,winter,1985,2,17,7,Sydrifloi,2,12,4,0,0
30,net,winter,1985,2,17,7,NA,1,2,0,10,0
11,hook,winter,1985,2,17,7,NA,3,NA,6,0,0
12,net,winter,1985,2,18,7,Haeyjarall,3,6,2,0,0
21,net,winter,1985,2,18,7,Bolir,3,8,3,0,0
11,hook,winter,1985,2,18,7,NA,3,NA,3,0,0
11,hook,winter,1985,2,18,7,NA,3,NA,1,0,0
8,net,winter,1985,2,19,8,Leira,2,4,1,0,0
11,net,winter,1985,2,20,8,Sydrifloi,2,8,8,1,0
28,net,winter,1985,2,20,8,Sydrifloi,2,12,5,1,0
16,hook,winter,1985,2,20,8,NA,3,NA,4,0,0
12,net,winter,1985,2,21,8,Hylvik,3,6,4,0,0
21,net,winter,1985,2,21,8,Bolir,3,12,0,0,0
30,net,winter,1985,2,21,8,NA,1,3,0,11,0
8,net,winter,1985,2,22,8,Leira,2,4,2,0,0
28,net,winter,1985,2,22,8,Sydrifloi,2,8,2,1,0
11,net,winter,1985,2,23,8,Sydrifloi,2,8,6,0,0
8,net,winter,1985,2,24,8,Leira,2,4,0,0,0
12,net,winter,1985,2,24,8,Haeyjarall,3,6,5,0,0
21,net,winter,1985,2,24,8,Bolir,3,12,3,0,0
28,net,winter,1985,2,25,8,Sydrifloi,2,12,0,1,0
30,net,winter,1985,2,25,8,NA,1,2,0,9,0
8,net,winter,1985,2,26,9,Leira,2,4,0,0,0
30,net,winter,1985,2,26,9,NA,1,3,0,8,0
30,net,winter,1985,2,27,9,NA,1,3,0,7,0
31,net,winter,1985,2,27,9,Framfloi,2,8,4,0,0
21,net,winter,1985,2,28,9,Bolir,3,16,7,0,0
28,net,winter,1985,2,28,9,Sydrifloi,2,12,2,1,0
31,net,winter,1985,2,28,9,Vogafloi,1,4,0,5,0
16,hook,winter,1985,2,28,9,NA,3,NA,9,0,0
5,net,winter,1985,3,NA,9,Sydrifl-Nesl,NA,NA,0,0,0
7,net,winter,1985,3,NA,9,Neslandavik,2,NA,27,3,0
17,net,winter,1985,3,NA,9,NA,NA,NA,75,0,0
35,net,winter,1985,3,NA,9,NA,2,5,36,1,0
21,hook,winter,1985,3,NA,9,NA,NA,NA,15,0,0
8,net,winter,1985,3,1,9,NA,2,4,10,0,0
8,net,winter,1985,3,2,9,NA,2,4,2,0,0
11,net,winter,1985,3,2,9,Sydrifloi,2,7,13,0,0
12,net,winter,1985,3,2,9,Haeyjarall,3,2,5,0,0
31,net,winter,1985,3,2,9,Vogafloi,1,4,0,18,0
3,hook,winter,1985,3,2,9,NA,1,NA,8,0,0
3,hook,winter,1985,3,2,9,NA,1,NA,6,0,0
3,hook,winter,1985,3,2,9,NA,1,NA,10,0,0
11,hook,winter,1985,3,2,9,NA,3,NA,15,0,0
11,hook,winter,1985,3,2,9,NA,3,NA,1,0,0
12,hook,winter,1985,3,2,9,NA,3,NA,3,0,0
35,hook,winter,1985,3,2,9,NA,2,NA,2,0,0
8,net,winter,1985,3,3,9,NA,2,4,6,0,0
11,net,winter,1985,3,3,9,Sydrifloi,2,7,8,0,0
21,net,winter,1985,3,3,9,Bolir,3,20,2,0,0
28,net,winter,1985,3,3,9,Sydrifloi,2,12,3,0,0
30,net,winter,1985,3,3,9,NA,1,3,0,7,0
31,net,winter,1985,3,3,9,Framfloi,2,12,5,0,0
3,hook,winter,1985,3,3,9,NA,1,NA,11,0,0
3,hook,winter,1985,3,3,9,NA,1,NA,8,0,0
3,hook,winter,1985,3,3,9,NA,1,NA,5,0,0
3,hook,winter,1985,3,3,9,NA,1,NA,7,0,0
8,net,winter,1985,3,4,9,NA,2,4,0,0,0
12,net,winter,1985,3,4,9,Haeyjarall,3,4,7,0,0
31,net,winter,1985,3,4,9,Vogfloi,1,4,0,5,0
8,net,winter,1985,3,5,10,NA,2,4,4,0,0
29,net,winter,1985,3,5,10,NA,2,48,12,0,0
35,hook,winter,1985,3,5,10,NA,2,NA,1,0,0
8,net,winter,1985,3,6,10,NA,2,4,5,0,0
12,net,winter,1985,3,6,10,Haeyjarall,3,4,7,0,0
21,net,winter,1985,3,6,10,Bolir,3,16,6,2,0
30,net,winter,1985,3,6,10,NA,1,2,0,2,0
31,net,winter,1985,3,6,10,Vogafloi,1,4,0,2,0
28,hook,winter,1985,3,6,10,NA,2,NA,3,0,0
8,net,winter,1985,3,7,10,NA,2,4,3,0,0
11,net,winter,1985,3,7,10,Sydrifloi,2,28,8,0,0
31,net,winter,1985,3,7,10,Framfloi,2,16,4,0,0
28,hook,winter,1985,3,8,10,NA,2,NA,3,1,0
12,net,winter,1985,3,9,10,Haeyjarall,3,6,6,0,0
21,net,winter,1985,3,9,10,Bolir,3,12,6,0,0
29,net,winter,1985,3,9,10,NA,2,64,19,0,0
8,net,winter,1985,3,10,10,NA,2,4,13,0,0
29,net,winter,1985,3,10,10,NA,2,16,3,0,0
3,hook,winter,1985,3,10,10,NA,2,NA,6,0,0
21,net,winter,1985,3,11,10,Bolir,3,8,4,0,0
28,net,winter,1985,3,11,10,Sfloi og Ala,2,36,8,0,0
16,hook,winter,1985,3,11,10,NA,2,NA,2,1,0
29,hook,winter,1985,3,11,10,NA,2,NA,7,0,0
35,hook,winter,1985,3,11,10,NA,2,NA,2,0,0
11,net,winter,1985,3,12,11,Sydrifloi,2,28,14,0,0
12,net,winter,1985,3,12,11,Haeyjarall,3,6,1,0,0
30,net,winter,1985,3,12,11,NA,1,3,0,28,0
28,hook,winter,1985,3,12,11,NA,2,NA,15,0,0
30,net,winter,1985,3,13,11,NA,1,3,0,3,0
31,net,winter,1985,3,13,11,Vogafloi,1,4,0,18,0
28,net,winter,1985,3,13,11,Sfloi og Ala,2,10,0,0,0
28,hook,winter,1985,3,13,11,NA,2,NA,15,0,0
31,net,winter,1985,3,14,11,Framfloi,2,28,2,0,0
11,net,winter,1985,3,15,11,Sydrifloi,2,14,1,0,0
21,net,winter,1985,3,15,11,Bolir,3,16,4,0,0
29,net,winter,1985,3,16,11,NA,2,96,10,0,0
29,hook,winter,1985,3,16,11,NA,2,NA,15,0,0
35,hook,winter,1985,3,16,11,NA,2,NA,15,0,0
12,net,winter,1985,3,17,11,Haeyjarall,3,10,3,0,0
21,net,winter,1985,3,17,11,Bolir,3,8,4,0,0
16,hook,winter,1985,3,17,11,NA,2,NA,5,0,0
11,net,winter,1985,3,18,11,Sydrifloi,2,14,1,0,0
29,net,winter,1985,3,18,11,NA,2,32,1,7,0
16,hook,winter,1985,3,18,11,NA,2,NA,12,0,0
29,hook,winter,1985,3,18,11,NA,2,NA,15,0,0
12,net,winter,1985,3,19,12,Haeyjarall,3,4,5,1,0
29,net,winter,1985,3,19,12,NA,2,16,2,0,0
28,net,winter,1985,3,19,12,Sfloi og Ala,2,30,0,2,0
28,hook,winter,1985,3,19,12,NA,2,NA,15,0,0
29,net,winter,1985,3,20,12,NA,2,16,0,4,0
30,net,winter,1985,3,20,12,NA,1,2,0,2,0
28,hook,winter,1985,3,20,12,NA,2,NA,15,0,0
12,net,winter,1985,3,21,12,Haeyjarall,3,4,0,0,0
21,net,winter,1985,3,21,12,Bolir,3,12,2,0,0
31,net,winter,1985,3,21,12,Vogafloi,1,4,0,9,0
16,hook,winter,1985,3,21,12,NA,2,NA,15,0,0
29,net,winter,1985,3,22,12,NA,2,32,1,3,0
3,hook,winter,1985,3,22,12,NA,2,NA,3,0,0
4,hook,winter,1985,3,22,12,NA,2,NA,7,0,0
21,hook,winter,1985,3,22,12,NA,2,NA,15,0,0
30,net,winter,1985,3,23,12,NA,1,3,0,3,0
3,hook,winter,1985,3,23,12,NA,2,NA,14,0,0
3,hook,winter,1985,3,23,12,NA,2,NA,3,0,0
3,hook,winter,1985,3,23,12,NA,2,NA,9,0,0
3,hook,winter,1985,3,23,12,NA,2,NA,14,0,0
4,hook,winter,1985,3,23,12,NA,2,NA,1,0,0
21,net,winter,1985,3,24,12,Bolir,3,12,3,1,0
30,net,winter,1985,3,24,12,NA,1,4,0,6,0
3,hook,winter,1985,3,24,12,NA,2,NA,15,0,0
3,hook,winter,1985,3,24,12,NA,2,NA,15,0,0
21,hook,winter,1985,3,24,12,NA,2,NA,15,0,0
35,hook,winter,1985,3,24,12,NA,2,NA,15,0,0
12,net,winter,1985,3,25,12,Haeyjarall,3,8,1,1,0
31,net,winter,1985,3,25,12,Framfloi,2,44,2,0,0
29,net,winter,1985,3,26,13,NA,2,64,6,2,0
21,net,winter,1985,3,28,13,Bolir,3,16,1,0,0
28,hook,winter,1985,3,28,13,NA,2,NA,7,0,0
12,net,winter,1985,3,29,13,Haeyjarall,3,8,1,0,0
29,net,winter,1985,3,29,13,NA,2,48,1,4,0
28,hook,winter,1985,3,29,13,NA,2,NA,11,0,0
21,net,winter,1985,3,31,13,Bolir,3,12,1,0,0
5,net,winter,1985,4,NA,13,Sydrifl-Nesl,NA,NA,0,30,0
7,net,winter,1985,4,NA,13,Neslandavik,2,NA,21,2,0
35,net,winter,1985,4,NA,13,NA,2,5,13,6,0
2,hook,winter,1985,4,NA,13,NA,NA,NA,34,0,0
3,hook,winter,1985,4,NA,13,NA,2,NA,15,0,0
3,hook,winter,1985,4,NA,13,NA,2,NA,7,0,0
9,hook,winter,1985,4,NA,13,NA,NA,NA,14,0,0
29,net,winter,1985,4,1,13,NA,2,5,1,3,0
31,net,winter,1985,4,1,13,Vogafloi,1,4,2,0,0
12,net,winter,1985,4,3,14,Haeyjarall,3,4,3,0,0
29,net,winter,1985,4,3,14,NA,2,5,1,4,0
21,net,winter,1985,4,4,14,Bolir,3,16,2,1,0
30,net,winter,1985,4,4,14,NA,1,2,0,1,0
12,hook,winter,1985,4,4,14,NA,2,NA,6,0,0
29,net,winter,1985,4,6,14,NA,2,16,18,10,0
3,hook,winter,1985,4,6,14,NA,2,NA,14,0,0
4,hook,winter,1985,4,6,14,NA,2,NA,3,0,0
11,hook,winter,1985,4,6,14,NA,2,NA,22,0,0
11,hook,winter,1985,4,6,14,NA,3,NA,3,0,0
11,hook,winter,1985,4,6,14,NA,3,NA,10,0,0
12,hook,winter,1985,4,6,14,NA,2,NA,11,0,0
16,hook,winter,1985,4,6,14,NA,2,NA,12,0,0
29,hook,winter,1985,4,6,14,NA,2,NA,26,0,0
16,hook,winter,1985,4,7,14,NA,2,NA,15,0,0
28,hook,winter,1985,4,8,14,NA,2,NA,15,0,0
21,net,winter,1985,4,9,15,Bolir,3,20,1,0,0
29,net,winter,1985,4,9,15,NA,2,11,1,0,0
31,net,winter,1985,4,9,15,Vogafloi,1,8,8,2,0
3,hook,winter,1985,4,9,15,NA,3,NA,15,0,0
28,hook,winter,1985,4,9,15,NA,2,NA,8,0,0
31,net,winter,1985,4,10,15,Vogafloi,1,8,2,5,0
2,hook,winter,1985,4,10,15,NA,2,NA,15,0,0
35,hook,winter,1985,4,10,15,NA,2,NA,2,0,0
12,net,winter,1985,4,11,15,Haeyjarall,3,16,3,0,0
21,net,winter,1985,4,13,15,Bolir,3,16,0,0,0
3,hook,winter,1985,4,13,15,NA,2,NA,15,0,0
29,net,winter,1985,4,14,15,NA,2,16,9,2,0
16,hook,winter,1985,4,14,15,NA,2,NA,8,0,0
35,hook,winter,1985,4,14,15,NA,2,NA,2,0,0
12,net,winter,1985,4,15,15,Haeyjarall,3,8,1,0,0
30,net,winter,1985,4,15,15,NA,1,6,11,4,0
31,net,winter,1985,4,15,15,Vogafloi,1,8,2,18,0
30,net,winter,1985,4,16,16,NA,1,6,NA,7,0
29,hook,winter,1985,4,17,16,NA,2,NA,8,0,0
30,net,winter,1985,4,18,16,NA,1,3,0,5,0
31,net,winter,1985,4,18,16,Vogafloi,1,8,0,7,0
30,net,winter,1985,4,19,16,NA,1,6,5,3,0
31,net,winter,1985,4,19,16,Vogafloi,1,8,4,2,0
12,net,winter,1985,4,20,16,Haeyjarall,3,10,2,0,0
2,hook,winter,1985,4,20,16,NA,2,NA,4,0,0
3,hook,winter,1985,4,20,16,NA,2,NA,14,0,0
34,hook,winter,1985,4,20,16,NA,2,NA,4,0,0
34,hook,winter,1985,4,20,16,NA,2,NA,11,0,0
34,hook,winter,1985,4,20,16,NA,2,NA,15,0,0
34,hook,winter,1985,4,20,16,NA,2,NA,15,0,0
29,net,winter,1985,4,22,16,NA,2,11,1,0,0
31,net,winter,1985,4,26,17,Vogafloi,1,8,4,23,0
29,hook,winter,1985,4,26,17,NA,2,NA,11,0,0
29,net,winter,1985,4,27,17,NA,2,11,4,0,0
3,hook,winter,1985,4,27,17,NA,2,NA,15,0,0
35,hook,winter,1985,4,27,17,NA,2,NA,2,0,0
31,net,winter,1985,4,29,17,Vogafloi,1,8,1,13,0
2,hook,winter,1985,4,29,17,NA,2,NA,15,0,0
2,net,winter,1985,5,NA,18,NA,2,NA,16,0,0
5,net,winter,1985,5,NA,18,Sydrifl-Nesl,NA,NA,5,27,0
7,net,winter,1985,5,NA,18,Neslandavik,2,NA,10,4,0
35,net,winter,1985,5,NA,18,NA,2,2,10,0,0
2,hook,winter,1985,5,NA,18,NA,NA,NA,31,0,0
25,net,winter,1985,5,1,18,O Eyja,2,8,5,0,0
31,net,winter,1985,5,1,18,Vogafloi,1,8,2,8,0
25,net,winter,1985,5,2,18,O Eyja,2,5,5,0,0
25,net,winter,1985,5,3,18,O Eyja,2,8,5,0,0
28,net,winter,1985,5,3,18,Sfloi og Ala,2,4,1,0,0
2,hook,winter,1985,5,3,18,NA,2,NA,1,0,0
31,net,winter,1985,5,4,18,Vogafloi,1,8,2,4,0
25,net,winter,1985,5,5,18,O Eyja,2,16,9,0,0
2,hook,winter,1985,5,5,18,NA,2,NA,15,0,0
25,net,winter,1985,5,6,18,O Eyja,2,8,3,0,0
25,net,winter,1985,5,7,19,O Eyja,2,8,2,0,0
2,hook,winter,1985,5,7,19,NA,2,NA,15,0,0
25,net,winter,1985,5,8,19,O Eyja,2,8,2,0,0
25,net,winter,1985,5,9,19,O Eyja,2,8,2,0,0
25,net,winter,1985,5,10,19,O Eyja,2,8,1,0,0
25,net,winter,1985,5,11,19,O Eyja,2,8,0,0,0
9,net,winter,1985,5,12,19,Hoskuldsh,2,9,6,2,0
15,net,winter,1985,5,12,19,Hrauneyarlei,1,6,2,0,0
25,net,winter,1985,5,12,19,O Eyja,2,8,2,0,0
9,net,winter,1985,5,13,19,Hoskuldsh,2,9,3,1,0
13,net,winter,1985,5,13,19,Hrauneyjarle,1,8,3,3,0
15,net,winter,1985,5,13,19,Hrauneyarlei,1,6,5,5,0
25,net,winter,1985,5,13,19,O Eyja,2,8,2,1,0
9,net,winter,1985,5,14,20,Hoskuldsh,2,9,6,0,0
13,net,winter,1985,5,14,20,N-Dauðanes,1,8,4,2,0
15,net,winter,1985,5,14,20,Hrauneyarlei,1,6,4,0,0
25,net,winter,1985,5,14,20,O Eyja,2,8,6,0,0
9,net,winter,1985,5,15,20,Hoskuldsh,2,9,10,2,0
25,net,winter,1985,5,15,20,O Eyja,2,8,3,0,0
25,net,winter,1985,5,16,20,O Eyja,2,8,5,0,0
25,net,winter,1985,5,17,20,O Eyja,2,8,4,1,0
9,net,winter,1985,5,19,20,Lambhofdi,2,2,2,2,0
9,net,winter,1985,5,20,20,Lambhofdi,2,7,5,0,0
25,net,winter,1985,5,20,20,O Eyja,2,24,10,0,0
31,hook,winter,1985,5,20,20,Vogafloi,1,NA,0,7,0
9,net,winter,1985,5,21,21,Lambhofdi,2,7,10,0,0
25,net,winter,1985,5,21,21,O Eyja,2,8,5,0,0
31,net,winter,1985,5,21,21,Vogafloi,1,8,2,15,0
9,net,winter,1985,5,22,21,Lambhofdi,2,9,5,0,0
26,net,winter,1985,5,22,21,Fellsh.eyri,2,8,4,0,0
31,net,winter,1985,5,22,21,Vogafloi,1,8,0,15,0
26,net,winter,1985,5,23,21,Fellsh.eyri,2,8,4,2,0
25,net,winter,1985,5,25,21,O Eyja,2,20,10,0,0
25,net,winter,1985,5,26,21,O Eyja,2,15,8,0,0
31,hook,winter,1985,5,27,21,Vogafloi,1,NA,0,7,0
31,net,winter,1985,5,28,22,Vogafloi,1,8,2,9,0
25,net,winter,1985,5,30,22,O Eyja,2,8,15,0,0
25,net,winter,1985,5,31,22,O Eyja,2,8,7,0,0
26,net,winter,1985,5,31,22,V-Vaeteyrar,2,8,5,0,0
31,net,winter,1985,5,31,22,Vogafloi,1,8,2,19,0
5,net,summer,1985,6,NA,NA,Sydrifl-Nesl,NA,NA,0,5,1
7,net,summer,1985,6,NA,NA,Sydrifl-Nesl,2,NA,24,8,1
10,net,summer,1985,6,NA,NA,NA,2,NA,175,4,1
19,net,summer,1985,6,NA,NA,Ytrifloi,1,8,10,0,1
29,net,summer,1985,6,NA,NA,NA,2,NA,136,3,1
18,net,summer,1985,6,1,NA,Sydri-Bolur,3,8,18,0,1
25,net,summer,1985,6,1,NA,O Eyja,2,8,10,0,1
26,net,summer,1985,6,1,NA,V-Vaeteyrar,2,8,17,0,1
30,net,summer,1985,6,1,NA,NA,NA,6,0,4,1
31,net,summer,1985,6,1,NA,Vogafloi,1,12,3,10,1
25,net,summer,1985,6,2,NA,O Eyja,2,8,9,0,1
26,net,summer,1985,6,2,NA,V-Vaeteyrar,2,8,5,0,1
31,net,summer,1985,6,2,NA,Vogafloi,1,12,1,9,1
8,net,summer,1985,6,3,NA,NA,2,18,6,1,1
25,net,summer,1985,6,3,NA,O Eyja,2,8,7,0,1
31,net,summer,1985,6,3,NA,Vogafloi,1,12,0,24,1
8,net,summer,1985,6,4,NA,NA,2,18,5,0,1
25,net,summer,1985,6,4,NA,O Eyja,2,8,9,0,1
26,net,summer,1985,6,4,NA,V-Vaeteyrar,2,4,6,0,1
30,net,summer,1985,6,4,NA,NA,NA,10,0,12,1
31,net,summer,1985,6,4,NA,Vogafloi,1,12,0,21,1
25,net,summer,1985,6,5,NA,O Eyja,2,8,6,0,1
26,net,summer,1985,6,5,NA,V-Vaeteyrar,2,8,9,0,1
30,net,summer,1985,6,5,NA,NA,NA,10,0,8,1
31,net,summer,1985,6,5,NA,Vogafloi,1,12,4,26,1
2,net,summer,1985,6,6,NA,NA,2,NA,24,0,1
8,net,summer,1985,6,6,NA,NA,2,18,8,2,1
25,net,summer,1985,6,6,NA,O Eyja,2,8,6,0,1
26,net,summer,1985,6,6,NA,V-Vaeteyrar,2,8,5,0,1
30,net,summer,1985,6,6,NA,NA,NA,10,0,3,1
31,net,summer,1985,6,6,NA,Vogafloi,1,12,1,9,1
2,net,summer,1985,6,7,NA,NA,2,NA,10,0,1
25,net,summer,1985,6,7,NA,O Eyja,2,8,4,0,1
26,net,summer,1985,6,7,NA,V-Vaeteyrar,2,8,7,0,1
27,net,summer,1985,6,7,NA,Bakkar,2,5,4,0,1
28,net,summer,1985,6,7,NA,Alar,2,6,24,0,1
30,net,summer,1985,6,7,NA,NA,NA,10,12,0,1
31,net,summer,1985,6,7,NA,Vogafloi,1,12,0,17,1
35,net,summer,1985,6,7,NA,NA,2,10,3,0,1
2,net,summer,1985,6,8,NA,NA,2,NA,5,0,1
8,net,summer,1985,6,8,NA,NA,2,18,4,0,1
25,net,summer,1985,6,8,NA,O Eyja,2,8,5,0,1
26,net,summer,1985,6,8,NA,V-Vaeteyrar,2,8,2,0,1
28,net,summer,1985,6,8,NA,Alar,2,7,12,0,1
30,net,summer,1985,6,8,NA,NA,NA,12,7,0,1
31,net,summer,1985,6,8,NA,Vogafloi,1,12,1,12,1
35,net,summer,1985,6,8,NA,NA,2,10,7,0,1
2,net,summer,1985,6,9,NA,NA,2,NA,6,0,1
4,net,summer,1985,6,9,NA,Sydrifloi,2,5,7,1,1
11,net,summer,1985,6,9,NA,Bolir,3,18,15,4,1
25,net,summer,1985,6,9,NA,O Eyja,2,8,6,0,1
28,net,summer,1985,6,9,NA,Alar,2,7,10,0,1
30,net,summer,1985,6,9,NA,NA,NA,12,12,6,1
31,net,summer,1985,6,9,NA,Vogafloi,1,12,2,6,1
2,net,summer,1985,6,10,NA,NA,2,NA,2,0,1
8,net,summer,1985,6,10,NA,NA,2,18,5,0,1
11,net,summer,1985,6,10,NA,Bolir,3,18,21,11,1
25,net,summer,1985,6,10,NA,O Eyja,2,8,5,0,1
26,net,summer,1985,6,10,NA,V-Vaeteyrar,2,16,6,0,1
28,net,summer,1985,6,10,NA,Alar,2,6,10,0,1
30,net,summer,1985,6,10,NA,NA,NA,12,9,0,1
31,net,summer,1985,6,10,NA,Vogafloi,1,12,3,8,1
35,net,summer,1985,6,10,NA,NA,2,10,2,0,1
25,net,summer,1985,6,11,NA,O Eyja,2,8,9,0,1
30,net,summer,1985,6,11,NA,NA,NA,12,14,2,1
8,net,summer,1985,6,12,NA,NA,2,18,10,1,1
25,net,summer,1985,6,12,NA,O Eyja,2,8,4,0,1
26,net,summer,1985,6,12,NA,V-Vaeteyrar,2,16,10,1,1
35,net,summer,1985,6,12,NA,NA,2,10,4,1,1
8,net,summer,1985,6,13,NA,NA,2,18,7,0,1
25,net,summer,1985,6,13,NA,O Eyja,2,8,5,0,1
26,net,summer,1985,6,13,NA,V-Vaeteyrar,2,8,7,0,1
30,net,summer,1985,6,13,NA,NA,NA,12,7,2,1
31,net,summer,1985,6,13,NA,Vogafloi,1,12,3,12,1
35,net,summer,1985,6,13,NA,NA,2,10,12,0,1
8,net,summer,1985,6,14,NA,NA,2,18,7,0,1
25,net,summer,1985,6,14,NA,O Eyja,2,8,5,0,1
26,net,summer,1985,6,14,NA,V-Vaeteyrar,2,8,7,0,1
27,net,summer,1985,6,14,NA,Bakkar,2,5,NA,8,1
28,net,summer,1985,6,14,NA,Alar,2,6,11,0,1
30,net,summer,1985,6,14,NA,NA,NA,12,12,6,1
31,net,summer,1985,6,14,NA,Vogafloi,1,12,0,13,1
35,net,summer,1985,6,14,NA,NA,2,10,2,0,1
4,net,summer,1985,6,15,NA,Álftavogur,2,6,7,0,1
8,net,summer,1985,6,15,NA,NA,2,18,5,0,1
11,net,summer,1985,6,15,NA,Bolir,3,18,24,7,1
25,net,summer,1985,6,15,NA,O Eyja,2,8,6,0,1
26,net,summer,1985,6,15,NA,V-Vaeteyrar,2,8,7,0,1
30,net,summer,1985,6,15,NA,NA,NA,12,15,2,1
31,net,summer,1985,6,15,NA,Vogafloi,1,12,4,3,1
4,net,summer,1985,6,16,NA,Álftavogur,2,6,17,0,1
4,net,summer,1985,6,16,NA,Sydrifloi,2,5,1,0,1
8,net,summer,1985,6,16,NA,NA,2,18,14,0,1
25,net,summer,1985,6,16,NA,O Eyja,2,8,6,0,1
28,net,summer,1985,6,16,NA,Alar,2,6,7,0,1
31,net,summer,1985,6,16,NA,Vogafloi,1,12,0,26,1
4,net,summer,1985,6,17,NA,Álftavogur,2,6,0,0,1
4,net,summer,1985,6,17,NA,Sydrifloi,2,5,5,1,1
8,net,summer,1985,6,17,NA,NA,2,18,10,0,1
21,net,summer,1985,6,17,NA,Bolir,3,6,11,0,1
25,net,summer,1985,6,17,NA,O Eyja,2,8,7,0,1
28,net,summer,1985,6,17,NA,Alar,2,6,13,0,1
31,net,summer,1985,6,17,NA,Vogafloi,1,12,8,5,1
2,net,summer,1985,6,18,NA,NA,2,NA,4,0,1
4,net,summer,1985,6,18,NA,Álftavogur,2,6,4,0,1
8,net,summer,1985,6,18,NA,NA,2,18,9,1,1
11,net,summer,1985,6,18,NA,Bolir,3,18,10,0,1
21,net,summer,1985,6,18,NA,Bolir,3,6,13,0,1
25,net,summer,1985,6,18,NA,O Eyja,2,8,12,0,1
28,net,summer,1985,6,18,NA,Alar,2,4,4,0,1
31,net,summer,1985,6,18,NA,Vogafloi,1,12,13,25,1
